imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,weighted_average_vote
tt6929604,Goodalochana,Goodalochana,2017,2017-11-03,Comedy,149,India,Malayalam,Thomas K. Sebastian,"Anoop Joseph, Dhyan Sreenivasan",Adam's World Of Imagination,"Dhyan Sreenivasan, Niranjana Anoop, Aju Varghese, Sreenath Bhasi, Hareesh Kanaran, Vishnu Govindhan, Alencier Ley Lopez, Bhagath Baby Manuel, Mamta Mohandas","A group of four friends take the easy route to accomplish their dreams. Even when things go haywire, they try to find an easy way out but, fate has other plans for them and all hell breaks loose when their decisions go wrong.",4.2,191,,,$ 113380,,2.0,,4.2
tt6929642,Kaala,Kaala,2018,2018-06-07,"Action, Drama",162,India,Tamil,Pa. Ranjith,"Ranjeet Bahadur, Shivgopal Krishna",Wunderbar Films,"Rajinikanth, Nana Patekar, Easwari Rao, Huma Qureshi, Samuthirakani, Anjali Patil, Dileepan, Manikandan, Aruldoss, Mithun Rajakumar, Aravind Akash, Sayaji Shinde, Sampath Raj, Ramesh Thilak, Nitish Veera",Kaala is about the life of Nellai / Tirunelveli based Tamils who live in large number in Mumbai.,6.7,7565,,,$ 1509872,,108.0,18.0,6.7
tt1234622,The Lift Boy(English),The Lift Boy,2019,2019-01-18,"Comedy, Drama",107,India,English,Jonathan Augustin,"Jonathan Augustin, Ashish P. Verma",Caroline Pictures,"Moin Khan, Nyla Masood, Saagar Kale, Aneesha Shah, Damian D'Souza, Neha Bam, Nil Mani, Kaustubh Narain, Shilpa Iyer, Santosh Mohite, Pallas Prajapati, Jigna Khajuria, Sonali Singh, Dhanveer Singh",The Lift Boy is a coming of age story of a 24-year-old vagabond who is forced to work at a posh building in Mumbai as a Lift Boy when his bread-winning father falls ill.,7.3,1891,,,,,98.0,4.0,7.3
tt1183558,The Lift Boy(Hindi),The Lift Boy,2019,2019-01-18,"Comedy, Drama",107,India,Hindi,Jonathan Augustin,"Jonathan Augustin, Ashish P. Verma",Caroline Pictures,"Moin Khan, Nyla Masood, Saagar Kale, Aneesha Shah, Damian D'Souza, Neha Bam, Nil Mani, Kaustubh Narain, Shilpa Iyer, Santosh Mohite, Pallas Prajapati, Jigna Khajuria, Sonali Singh, Dhanveer Singh",The Lift Boy is a coming of age story of a 24-year-old vagabond who is forced to work at a posh building in Mumbai as a Lift Boy when his bread-winning father falls ill.,7.3,1891,,,,,98.0,4.0,7.3
tt1369002,The Lift Boy(Marathi),The Lift Boy,2019,2019-01-18,"Comedy, Drama",107,India,Marathi,Jonathan Augustin,"Jonathan Augustin, Ashish P. Verma",Caroline Pictures,"Moin Khan, Nyla Masood, Saagar Kale, Aneesha Shah, Damian D'Souza, Neha Bam, Nil Mani, Kaustubh Narain, Shilpa Iyer, Santosh Mohite, Pallas Prajapati, Jigna Khajuria, Sonali Singh, Dhanveer Singh",The Lift Boy is a coming of age story of a 24-year-old vagabond who is forced to work at a posh building in Mumbai as a Lift Boy when his bread-winning father falls ill.,7.3,1891,,,,,98.0,4.0,7.3
tt6940692,Udhaharanam Sujatha,Udhaharanam Sujatha,2017,2017-09-28,"Drama, Family",127,India,Malayalam,Phantom Praveen,"Naveen Bhaskar, Martin Prakkat",,"Manju Warrier, Anaswara Rajan, Nedumudi Venu, Joju George, Abhija Sivakala, Swaraj Gramika, Mamta Mohandas, Sudhi Koppa, Sreeja Das, Alencier Ley Lopez, Lukman Lukku, Aditi Ravi, Kannan Sagar, V. Suresh Thampanoor","Sujatha, who juggles menial jobs to afford her daughter's education. But her daughter neglects studies, thinking that she'll end doing odd jobs just like her mother. Things take a comical turn, when Sujatha does something out of the blue.",7.3,455,,,$ 2252,,5.0,5.0,7.3
tt6941560,Phullu,Phullu,2017,2017-06-16,"Comedy, Drama",96,India,Hindi,Abhishek Saxena,"Shaheen Iqbal, Shaheen Iqbal",K C Productions Private Limited,"Sharib Hashmi, Jyoti Sethi, Nutan Surya, Paras raj Gandhi, Inaamulhaq, Sima Pari","Struck by the lack of clean resources for menstruating women in his village, a jobless loafer braves social stigmas to create low-cost sanitary napkins.",6.1,176,,,,,3.0,3.0,6.1
tt6941654,Hanuman Da' Damdaar,Hanuman Da' Damdaar,2017,2017-06-02,"Animation, Family",105,India,Hindi,Ruchi Narain,"Ajay Jhingran, Ruchi Narain",RAT Films,"Salman Khan, Sunny Deol, Raveena Tandon, Javed Akhtar, Balwinder Kaur Brar, Hussain Dalal, Makrand Deshpande, Dhruv Ganesh, Ajay Jhingran, Rajesh Kava, Sneha Khanwalkar, Kunal Khemu, Vishal Kumar, Sabina Malik, Nilufer Middey","Anjani has not forgotten how her son almost lost his life. Now to protect him, she shelters him in a bid to keep him from harming himself again. She doesn't even allow him to go out of the ...",5.8,105,,,,,4.0,,5.8
tt6954416,Andhhagadu,Andhhagadu,2017,2017-06-02,Comedy,132,India,Telugu,Veligonda Srinivas,Veligonda Srinivas,A.K. Entertainments India,"Raj Tarun, Hebah Patel, Rajendra Prasad, Mahesh Achanta, Ananth, Rajsekhar Aningi, Venkateswara Rao Paruchuri, Prabhakar, Satyam Rajesh, Raja Ravindra, Jayaprakash Reddy, Satya, Sayaji Shinde, Fish Venkat, Ashish Vidyarthi",Gautham (Raj Tarun) is a Radio jockey. He is a blind orphan. To fix his eyes he was looking for a donor. Then incidentally she met with a young female doctor Dr. Netra (Hebah Patel). He ...,5.7,123,,,,,,,5.7
tt1680096,1921(Hindi),1921,2018,2018-01-12,"Horror, Mystery, Romance",144,India,Hindi,Vikram Bhatt,"Vikram Bhatt, Esha Desai",DMP Films,"Zareen Khan, Karan Kundrra, Vikram Bhatt, Angela Krislinzki, Nidhi Chitrakar, Aradhya Taing, Neil Broome, Rachel Shaw, David Turner, Wayne McAulay, Jazz Gee, Toby Hinson, Shane Harper, Michael Edwards, Grace Hendy","In 1920s England, a pianist enlists the help of a ghost whisperer to cleanse the unclean spirit that is haunting him.",4.5,990,,,$ 26710,,14.0,8.0,4.5
